id,label
1,0.999917
10,0.016076
100,0.013384
1000,0.999637
10000,0.997098
10001,0.001596
10002,0.071459
10003,0.998862
10004,0.592719
10005,0.000760
10006,0.023231
10007,0.005156
10008,0.001654
10009,0.008679
1001,0.000770
10010,0.993635
10011,0.998951
10012,0.016184
10013,0.025766
10014,0.092350
10015,0.998118
10016,0.312608
10017,0.003165
10018,0.000117
10019,0.000053
1002,0.986840
10020,0.301143
10021,0.000964
10022,0.994946
10023,0.998434
10024,0.999986
10025,0.966685
10026,0.993348
10027,0.999990
10028,0.007582
10029,0.881327
1003,0.999992
10030,0.999457
10031,0.005374
10032,0.185053
10033,0.156941
10034,0.999741
10035,0.963833
10036,0.997332
10037,0.314403
10038,0.967571
10039,0.999796
1004,0.999113
10040,0.000307
10041,0.999321
10042,0.744224
10043,0.999985
10044,0.001447
10045,0.954979
10046,0.997568
10047,0.997866
10048,0.999958
10049,0.016266
1005,0.003000
10050,0.005181
10051,0.002991
10052,0.028825
10053,0.953357
10054,0.006022
10055,0.002261
10056,0.999918
10057,0.080020
10058,0.992794
10059,0.704412
1006,0.999975
10060,0.998281
10061,0.001354
10062,0.053908
10063,0.994883
10064,0.999330
10065,0.485183
10066,0.017455
10067,0.062021
10068,0.015367
10069,0.036551
1007,0.999904
10070,0.828813
10071,0.000439
10072,0.005912
10073,0.948701
10074,0.007674
10075,0.600183
10076,0.335842
10077,0.003817
10078,0.999999
10079,0.000307
1008,0.003185
10080,0.999645
10081,0.470943
10082,0.052018
10083,0.000000
10084,0.999995
10085,0.988606
10086,0.999800
10087,0.998902
10088,0.000237
10089,0.209883
1009,0.999943
10090,0.015780
10091,0.095797
10092,0.996162
10093,0.121824
10094,0.998792
10095,0.001502
10096,0.999967
10097,0.999117
10098,0.999254
10099,0.006813
101,0.051031
1010,0.999621
10100,0.934663
10101,0.998945
10102,0.130554
10103,0.004289
10104,0.999906
10105,0.996634
10106,0.002112
10107,0.188838
10108,0.999761
10109,0.000275
1011,0.062631
10110,0.990184
10111,0.121940
10112,0.004219
10113,0.999925
10114,0.003981
10115,0.018111
10116,0.999991
10117,0.007497
10118,0.141707
10119,0.882158
1012,0.966048
10120,0.001068
10121,0.022843
10122,0.145620
10123,0.784645
10124,0.999960
10125,0.026663
10126,0.001256
10127,0.998688
10128,0.449438
10129,0.826769
1013,0.000391
10130,0.025049
10131,0.899102
10132,0.141058
10133,0.016652
10134,0.810953
10135,1.000000
10136,0.997825
10137,0.106888
10138,0.993075
10139,0.998182
1014,0.999989
10140,0.320876
10141,0.999131
10142,0.457701
